Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Location
062920200;10/19/2006;09:34 PM;7.0;ALL OTHER LARCENY;;;;2462 W CAPITOL DR
062920205;10/19/2006;09:58 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;5120 N SHERMAN BL
062920221;10/19/2006;06:57 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;3307 W CUSTER AV
062920223;10/19/2006;10:27 PM;4.0;ROBBERY;;;;6859 N TEUTONIA AV
062930014;10/19/2006;05:03 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;4734 N 22ND ST
062900178;10/18/2006;03:30 AM;7.0;ROBBERY;;;;2615 W ATKINSON AV
062910005;10/18/2006;08:35 AM;7.0;ARSON;;;;4265 N 27TH ST
062910060;10/18/2006;07:37 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;6859 N 43RD ST
062910100;10/18/2006;12:26 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;4069 N 23RD ST
062910109;10/18/2006;03:59 PM;7.0;MOTOR VEHICLE THEFT;;;;4845 N 52ND ST
062910154;10/18/2006;02:18 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;4821 N 52ND ST
062910201;10/18/2006;08:59 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;2830 W BOBOLINK AV
062910227;10/18/2006;03:29 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;4967 N 24TH PL
062910229;10/18/2006;07:17 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;5062 N 25TH ST
062900042;10/17/2006;09:32 AM;7.0;ALL OTHER LARCENY;;;;2022 W ATKINSON AV #6
062900053;10/17/2006;11:07 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;1400 W CAPITOL DR
062900079;10/17/2006;12:43 PM;7.0;MOTOR VEHICLE THEFT;;;;2900 W ATKINSON AV
062900088;10/17/2006;12:13 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;1987 W PURDUE ST
062900103;10/17/2006;12:13 PM;4.0;MOTOR VEHICLE THEFT;;;;6923 N TEUTONIA AV #4
062900154;10/17/2006;04:56 PM;4.0;SIMPLE ASSAULT;;;;7105 N TEUTONIA AV #105
062900157;10/17/2006;01:00 PM;4.0;ALL OTHER LARCENY;;;;4200 W GOOD HOPE RD
062900231;10/17/2006;09:50 PM;7.0;ALL OTHER LARCENY;;;;2222 W CAPITOL DR
062890027;10/16/2006;02:16 AM;4.0;AGGRAVATED ASSAULT;;;;5602 N 36TH ST
062890035;10/16/2006;05:06 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;3804 W CUSTER AV
062890039;10/16/2006;05:58 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;5400 N GREEN BAY AV
062890042;10/16/2006;07:10 AM;7.0;MOTOR VEHICLE THEFT;;;;2701 W ROOSEVELT DR
